Star	average: vsini (km/s)	average: err_1	average: err_2	standard deviation: vsini (km/s)	standard deviation: err_1	standard deviation: err_2	median: vsini (km/s)	median: err_1	median: err_2	nasa: vsini (km/s)	nasa: err_1	nasa: err_2	nasa: reference
11 Com	5.292			1.6150000000000002			1.2			1.2	1.0	-1.0	<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>
11 UMi	4.825			1.4333333333333333			1.5						<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
14 And	4.488333333333333			1.3860000000000001			1.515			2.6			<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>
14 Her	1.9666666666666666			1.94			2.0						<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>
16 Cyg B	9.765555555555556			3.2811764705882354			2.2						<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
18 Del	0.8			0.8			0.8						<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>
1SWASP J1407													
24 Sex	1.7600000000000002			2.2			1.78			2.77	0.5	-0.5	<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>
30 Ari B	36.74444444444444			38.583333333333336			38.3						<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
38 Vir	23.099999999999998			24.65			23.3			20.0			<a refstr=BORGNIET_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...599A..57B/abstract target=ref>Borgniet et al. 2017</a>
4 Uma	6.026666666666666			1.54			2.08						<a refstr=DOLLINGER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...472..649D/abstract target=ref> Dollinger et al. 2007 </a>
42 Dra	4.6899999999999995			1.2533333333333332			1.38			1.0			<a refstr=DOELLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...499..935D/abstract target=ref> Doellinger et al. 2009 </a>
47 Uma	3.2730769230769234			3.1277777777777778			3.0						<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
51 Peg							2.4						<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
55 Cnc							2.27			1.23	0.01	-0.01	<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>
6 Lyn	3.0460000000000003			1.3800000000000001			1.4						<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>
61 Vir	3.4088947368421056			1.6669375			1.8			1.9			<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>
7 CMA	3.1439999999999997			1.8266666666666669			1.835						<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A.136L/abstract target=ref>Luque et al. 2019</a>
70 Vir							3.0						<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>
75 Cet	1.4111999999999998			1.2733333333333332			1.22			1.77			<a refstr=SATO_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012PASJ...64..135S/abstract target=ref> Sato et al. 2012 </a>
8 Umi	3.6						3.6						<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
81 Cet	2.2333333333333334			1.5			1.8			1.8			<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>
91 Aqr	5.8225			2.763333333333333			3.4			3.9	0.5	-0.5	<a refstr=MITCHELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A..87M/abstract target=ref> Mitchell et al. 2013 </a>
alf Ari	3.425			1.7714285714285716			1.9						
AS 205 A													
BD-06 1339	0.9666666666666667			0.6			0.63			0.57			<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>
BD-08 2823	1.4						1.4						<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
BD-10 3166	2.84			1.56			2.2						<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
BD-11 4672	1.5			1.5			1.5			1.0	0.5	-0.5	<a refstr=BARBATO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...641A..68B/abstract target=ref>Barbato et al. 2020</a>
BD-17 63	1.5						1.5			1.5			<a refstr=MOUTOU_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...496..513M/abstract target=ref> Moutou et al. 2009 </a>
BD+14 4559	2.5						2.5						<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
BD+15 2375	2.5						2.5			2.5	0.5	-0.5	<a refstr=NIEDZIELSKI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A..62N/abstract target=ref>Niedzielski et al. 2016</a>
BD+15 2940	2.3						2.3			2.3	0.8	-0.8	<a refstr=NOWAK_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770...53N/abstract target=ref> Nowak et al. 2013 </a>
BD+20 2457	2.5						2.5						<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
BD+20 274	2.0						2.0			2.0	1.5	-1.5	<a refstr=GETTEL_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...756...53G/abstract target=ref> Gettel et al. 2012 </a>
BD+20 594	3.3			3.3			3.3						<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
BD+24 4697													
BD+26 1888													
BD+48 738							1.97			1.0			<a refstr=GETTEL_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...28G/abstract target=ref> Gettel et al. 2012 </a>
BD+49 828	1.7						1.7			1.7	0.8	-0.8	<a refstr=NIEDZIELSKI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...803....1N/abstract target=ref>Niedzielski et al. 2015</a>
beta Cnc	5.9142857142857155			4.4			4.0			3.7	0.8	-0.8	<a refstr=LEE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...566A..67L/abstract target=ref> Lee et al. 2014</a>
beta Umi	6.066666666666666			1.6			1.7						
CI Tau	12.1			11.466666666666667			11.9						<a refstr=FLAGG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190602860F/abstract target=ref>Flagg et al. 2019</a>
CoRoT-1	4.9399999999999995			5.008			4.970000000000001			5.2	1.0	-1.0	<a refstr=BARGE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...482L..17B/abstract target=ref> Barge et al. 2008 </a>
CoRoT-10	14.857			2.0			2.0			2.0	0.5	-0.5	<a refstr=BONOMO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..65B/abstract target=ref> Bonomo et al. 2010 </a>
CoRoT-11	38.7975			39.49			39.235			40.0	5.0	-5.0	<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>
CoRoT-12										1.0	1.0	-1.0	<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..97G/abstract target=ref> Gillon et al. 2010 </a>
CoRoT-13							4.0			4.0	1.0	-1.0	<a refstr=CABRERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...522A.110C/abstract target=ref> Cabrera et al. 2010 </a>
CoRoT-14	9.0			9.0			9.0			9.0	0.5	-0.5	<a refstr=TINGLEY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...528A..97T/abstract target=ref> Tingley et al. 2011 </a>
CoRoT-15	91.367						91.367						
CoRoT-16							1.0			1.0			<a refstr=OLLIVIER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...541A.149O/abstract target=ref> Ollivier et al. 2012 </a>
CoRoT-17							4.5			4.5	0.5	-0.5	<a refstr=CSIZMADIA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...531A..41C/abstract target=ref> Csizmadia et al. 2011 </a>
CoRoT-18	8.0			8.0			8.0			8.0	1.0	-1.0	<a refstr=HEBRARD_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.130H/abstract target=ref> Hebrard et al. 2011 </a>
CoRoT-19	6.0			6.0			6.0			6.0	1.0	-1.0	<a refstr=GUENTHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A.136G/abstract target=ref> Guenther et al. 2012 </a>
CoRoT-2	10.379999999999999			10.585			10.585			10.87	0.32	-0.32	<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...511A...3G/abstract target=ref> Gillon et al. 2010 </a>
CoRoT-20							4.5						<a refstr=REY_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A.115R/abstract target=ref>Rey et al. 2018</a>
CoRoT-21	11.0			11.0			11.0			11.0	1.0	-1.0	<a refstr=P_AUML_TZOLD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...545A...6P/abstract target=ref>P&auml;tzold et al. 2012</a>
CoRoT-22	4.0						4.0			4.0	1.5	-1.5	<a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.444.2783M/abstract target=ref>Moutou et al. 2014</a>
