hostname	gaia_id	default_flag	st_refname	st_vsin	st_vsinerr1	st_vsinerr2	st_vsinlim	rowupdate	releasedate;;
11 Com	Gaia DR2 3946945413106333696	1	<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>	1.2	1.0	-1.0	0.0	2014-05-14	2014-05-14;;
11 UMi	Gaia DR2 1696798367260229376	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
14 And	Gaia DR2 1920113512486282240	1	<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>	2.6			0.0	2014-05-14	2014-05-14;;
14 Her	Gaia DR2 1385293808145621504	1	<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>					2022-09-19	2022-09-19;;
16 Cyg B	Gaia DR2 2135550755683407232	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
17 Sco	Gaia DR2 4342464209753404416	1	<a refstr=TALA_PINTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A...1T/abstract target=ref>Tala Pinto et al. 2020</a>	3.98	1.11	-1.11	0.0	2021-10-25	2021-10-25;;
18 Del	Gaia DR2 1756741374681702784	1	<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>					2014-05-14	2014-05-14;;
24 Boo	Gaia DR2 1603662211901473408	1	<a refstr=TAKARADA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018PASJ...70...59T/abstract target=ref>Takarada et al. 2018</a>	3.36			0.0	2018-04-25	2018-04-26;;
24 Sex	Gaia DR2 3830897080395058048	1	<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>	2.77	0.5	-0.5	0.0	2014-05-14	2014-05-14;;
24 Sex	Gaia DR2 3830897080395058048	1	<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>	2.77	0.5	-0.5	0.0	2014-05-14	2014-05-14;;
