stars,catalogs,repetitions
11 Com,III/244/catalog,429
11 Com,III/244/mean,400
11 Com,V/53A/catalog,42
11 Com,VI/137/gum_mw,3777
11 Com,J/A+A/363/239/table2,17
11 Com,J/A+A/475/1003/table4,21
11 Com,J/A+A/574/A50/stars,88
11 Com,J/AN/321/277/table5,9
11 UMi,III/244/catalog,429
11 UMi,III/244/mean,400
11 UMi,VI/137/gum_mw,3777
11 UMi,J/A+A/363/239/table2,17
14 And,III/244/catalog,429
14 And,III/244/mean,400
14 And,VI/137/gum_mw,3777
14 And,J/A+A/363/239/table2,17
14 And,J/A+A/574/A50/stars,88
14 Her,III/244/catalog,429
14 Her,III/244/mean,400
14 Her,V/36B/bsc4s,29
14 Her,VI/137/gum_mw,3777
14 Her,J/ApJ/622/1102/table1,103
14 Her,J/ApJ/646/505/table2,146
14 Her,J/ApJS/159/141/stars,172
14 Her,J/A+A/537/A147/table4,89
14 Her,J/A+A/555/A11/stars,24
14 Her,J/A+A/654/A137/table1,269
14 Her,J/AJ/153/21/table5,124
14 Her,J/AJ/159/90/table3,14
14 Her,J/PASJ/57/13/table1,36
16 Cyg B,III/244/catalog,429
16 Cyg B,III/244/mean,400
16 Cyg B,VI/137/gum_mw,3777
16 Cyg B,J/ApJ/622/1102/table1,103
16 Cyg B,J/ApJ/646/505/table2,146
16 Cyg B,J/ApJ/835/172/table1,7
16 Cyg B,J/ApJS/159/141/stars,172
16 Cyg B,J/A+A/515/A93/table1,12
16 Cyg B,J/A+A/537/A147/table4,89
16 Cyg B,J/A+A/594/A39/tablea3,1350
16 Cyg B,J/A+A/608/A112/table1,3
16 Cyg B,J/A+A/654/A137/table1,269
16 Cyg B,J/A+AS/137/521/table2,8
16 Cyg B,J/AJ/143/135/table2,38
16 Cyg B,J/AJ/153/21/table5,124
16 Cyg B,J/AJ/163/183/table2,16
16 Cyg B,J/MNRAS/444/3517/stars,22
16 Cyg B,J/PASJ/57/13/table1,36
18 Del,VI/137/gum_mw,3777
18 Del,J/A+A/574/A50/stars,88
1SWASP J1407,VI/137/gum_mw,3777
1SWASP J1407,J/MNRAS/478/4513/catalog,41
24 Sex,VI/137/gum_mw,3777
24 Sex,J/A+A/574/A50/stars,88
24 Sex,J/A+A/629/A80/tableb12,45
30 Ari B,III/244/catalog,429
30 Ari B,III/244/mean,400
30 Ari B,VI/137/gum_mw,3777
30 Ari B,J/ApJ/578/943/table2,1
30 Ari B,J/ApJ/804/146/table5,7
30 Ari B,J/AJ/144/135/table1,2
30 Ari B,J/AJ/153/21/table5,124
38 Vir,III/244/catalog,429
38 Vir,III/244/mean,400
38 Vir,VI/137/gum_mw,3777
38 Vir,J/A+A/620/A58/tablea2,10
4 Uma,III/244/catalog,429
4 Uma,V/53A/catalog,42
4 Uma,VI/137/gum_mw,3777
4 Uma,J/A+A/574/A50/stars,88
4 Uma,J/AJ/150/123/table1,18
42 Dra,III/244/catalog,429
42 Dra,V/53A/catalog,42
42 Dra,VI/137/gum_mw,3777
42 Dra,J/A+A/363/239/table2,17
42 Dra,J/A+A/574/A50/stars,88
47 Uma,III/244/catalog,429
47 Uma,III/244/mean,400
47 Uma,VI/137/gum_mw,3777
47 Uma,J/ApJ/622/1102/table1,103
47 Uma,J/ApJ/646/505/table2,146
47 Uma,J/ApJS/159/141/stars,172
47 Uma,J/A+A/515/A93/table1,12
47 Uma,J/A+A/520/A79/tablea1,35
47 Uma,J/A+A/537/A147/table4,89
47 Uma,J/A+A/555/A11/stars,24
47 Uma,J/A+A/576/A69/stars,146
47 Uma,J/A+A/654/A137/table1,269
47 Uma,J/A+AS/137/521/table2,8
47 Uma,J/AJ/143/135/table2,38
47 Uma,J/AJ/153/21/table5,124
